Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs),pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs),Next,Swim & Beach,,,TRUE,Active,H39-003-22,,Size,3-6 Months (62-68cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H39003s.jpg,1,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs) image 1,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-24,,Size,6-9 Months (68-74cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H39003s1.jpg,2,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs) image 2,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-26,,Size,9-12 Months (74-80cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H39003s2.jpg,3,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs) image 3,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-28,,Size,12-18 Months (80-86cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H39003s3.jpg,4,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs) image 4,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-30,,Size,1.5-2 Years (86-92cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H39003s4.jpg,5,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs) image 5,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-33,,Size,3 Years (98cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H39003s5.jpg,6,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs) image 6,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-34,,Size,4 Years (104cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H39003s6.jpg,7,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs) image 7,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-35,,Size,5 Years (110cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H39003s7.jpg,8,Pink/ Red Cherry Short Sleeved Sunsafe Swim Set (3mths-10yrs) image 8,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-36,,Size,6 Years (116cm),,,,,,,,81.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,pink-red-cherry-short-sleeved-sunsafe-swim-set-3mths-10yrs,,,,,,,,H39-003-37,,Size,7 Years (122cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
