Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Pink Heart Baby Short Sleeve Bodysuits 5 Pack,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,Pink Heart Baby Short Sleeve Bodysuits 5 Pack,Next,sleepsuits,,,TRUE,Active,F67-644-18,,Size,50cm (First Size),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s.jpg,1,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 1,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,F67-644-19,,Size,Up to 1 Month (56cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s1.jpg,2,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 2,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,F67-644-20,,Size,Up to 3 Months (62cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s10.jpg,3,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 3,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,F67-644-22,,Size,3-6 Months (62-68cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s11.jpg,4,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 4,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,F67-644-24,,Size,6-9 Months (68-74cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s12.jpg,5,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 5,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,F67-644-27,,Size,9-12 Months (74-80cm),,,,,,,,76.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s2.jpg,6,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 6,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,F67-644-28,,Size,12-18 Months (80-86cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s3.jpg,7,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 7,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,F67-644-30,,Size,1.5-2 Years (86-92cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s4.jpg,8,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 8,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,F67-644-38,,Size,2-3 Years (92-98cm),,,,,,,,86.0,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s5.jpg,9,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 9,,,,,,,,,,,,,,,,,,
,pink-heart-baby-short-sleeve-bodysuits-5-pack-su660318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F67644s6.jpg,10,Pink Heart Baby Short Sleeve Bodysuits 5 Pack image 10,,,,,,,,,,,,,,,,,,
