Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Reiss Coral Fifi Junior Printed Swim Top,reiss-coral-fifi-junior-printed-swim-top,Reiss Coral Fifi Junior Printed Swim Top,Reiss,swimsuits,,,TRUE,Active,T77-463-17,,Size,4-5 Years (104-110cm),,,,,,,,239.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/T77463s.jpg,1,Reiss Coral Fifi Junior Printed Swim Top image 1,,,,,,,,,,,,,,,,,,
,reiss-coral-fifi-junior-printed-swim-top,,,,,,,,T77-463-18,,Size,5-6 Years (110-116cm),,,,,,,,239.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/T77463s2.jpg,2,Reiss Coral Fifi Junior Printed Swim Top image 2,,,,,,,,,,,,,,,,,,
,reiss-coral-fifi-junior-printed-swim-top,,,,,,,,T77-463-19,,Size,6-7 Years (116-122cm),,,,,,,,239.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/T77463s3.jpg,3,Reiss Coral Fifi Junior Printed Swim Top image 3,,,,,,,,,,,,,,,,,,
,reiss-coral-fifi-junior-printed-swim-top,,,,,,,,T77-463-20,,Size,7 - 8 Years (122 - 128cm),,,,,,,,239.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/T77463s4.jpg,4,Reiss Coral Fifi Junior Printed Swim Top image 4,,,,,,,,,,,,,,,,,,
,reiss-coral-fifi-junior-printed-swim-top,,,,,,,,T77-463-21,,Size,8-9 Years (128-134cm),,,,,,,,239.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/T77463s5.jpg,5,Reiss Coral Fifi Junior Printed Swim Top image 5,,,,,,,,,,,,,,,,,,
Multicoloured Checkerboard Sunsafe All-In-One Swimsuit (3mths-7yrs),multicoloured-checkerboard-sunsafe-all-in-one-swimsuit-3mths-7yrs,Multicoloured Checkerboard Sunsafe All-In-One Swimsuit (3mths-7yrs),Next,swimsuits,,,TRUE,Active,E91-830-22,,Size,3-6 Months (62-68cm),,,,,,,,23.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E91830s.jpg,1,Multicoloured Checkerboard Sunsafe All-In-One Swimsuit (3mths-7yrs) image 1,,,,,,,,,,,,,,,,,,
,multicoloured-checkerboard-sunsafe-all-in-one-swimsuit-3mths-7yrs,,,,,,,,E91-830-24,,Size,6-9 Months (68-74cm),,,,,,,,23.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E91830s2.jpg,2,Multicoloured Checkerboard Sunsafe All-In-One Swimsuit (3mths-7yrs) image 2,,,,,,,,,,,,,,,,,,
,multicoloured-checkerboard-sunsafe-all-in-one-swimsuit-3mths-7yrs,,,,,,,,E91-830-27,,Size,9-12 Months (74-80cm),,,,,,,,23.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E91830s3.jpg,3,Multicoloured Checkerboard Sunsafe All-In-One Swimsuit (3mths-7yrs) image 3,,,,,,,,,,,,,,,,,,
,multicoloured-checkerboard-sunsafe-all-in-one-swimsuit-3mths-7yrs,,,,,,,,E91-830-28,,Size,12-18 Months (80-86cm),,,,,,,,23.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E91830s4.jpg,4,Multicoloured Checkerboard Sunsafe All-In-One Swimsuit (3mths-7yrs) image 4,,,,,,,,,,,,,,,,,,
,multicoloured-checkerboard-sunsafe-all-in-one-swimsuit-3mths-7yrs,,,,,,,,E91-830-30,,Size,1.5-2 Years (86-92cm),,,,,,,,26.0,,,TRUE,,,,,,shopify,0,DENY,,,TRUE,manual,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/E91830s5.jpg,5,Multicoloured Checkerboard Sunsafe All-In-One Swimsuit (3mths-7yrs) image 5,,,,,,,,,,,,,,,,,,
